"StichtagDatJahr","QuarBisherSort","QuarBisherCd","QuarBisherLang","KreisBisherCd","QuarSort","QuarCd","QuarLang","KreisCd","AnzUmzuWir"
1993,74,"74","Witikon","7",23,"23","Leimbach","2",1
1993,74,"74","Witikon","7",24,"24","Enge","2",6
1993,74,"74","Witikon","7",31,"31","Alt-Wiedikon","3",11
1993,74,"74","Witikon","7",33,"33","Friesenberg","3",8
1993,74,"74","Witikon","7",34,"34","Sihlfeld","3",17
1993,74,"74","Witikon","7",41,"41","Werd","4",6
1993,74,"74","Witikon","7",42,"42","Langstrasse","4",6
1993,74,"74","Witikon","7",44,"44","Hard","4",6
1993,74,"74","Witikon","7",51,"51","Gewerbeschule","5",6
1993,74,"74","Witikon","7",52,"52","Escher Wyss","5",1
1993,74,"74","Witikon","7",61,"61","Unterstrass","6",30
1993,74,"74","Witikon","7",63,"63","Oberstrass","6",21
1993,74,"74","Witikon","7",71,"71","Fluntern","7",18
1993,74,"74","Witikon","7",72,"72","Hottingen","7",36
1993,74,"74","Witikon","7",73,"73","Hirslanden","7",28
1993,74,"74","Witikon","7",74,"74","Witikon","7",309
1993,74,"74","Witikon","7",81,"81","Seefeld","8",17
1993,74,"74","Witikon","7",82,"82","Mühlebach","8",14
1993,74,"74","Witikon","7",83,"83","Weinegg","8",9
1993,74,"74","Witikon","7",91,"91","Albisrieden","9",8
1993,74,"74","Witikon","7",92,"92","Altstetten","9",15
1993,74,"74","Witikon","7",101,"101","Höngg","10",15
1993,74,"74","Witikon","7",102,"102","Wipkingen","10",13
1993,74,"74","Witikon","7",111,"111","Affoltern","11",12
1993,74,"74","Witikon","7",115,"115","Oerlikon","12",11
1993,74,"74","Witikon","7",119,"119","Seebach","12",13
1993,74,"74","Witikon","7",121,"121","Saatlen","12",3
1993,74,"74","Witikon","7",122,"122","Schwamendingen-Mitte","12",5
1993,74,"74","Witikon","7",123,"123","Hirzenbach","12",7
1993,81,"81","Seefeld","8",11,"11","Rathaus","1",14
1993,81,"81","Seefeld","8",12,"12","Hochschulen","1",6
1993,81,"81","Seefeld","8",13,"13","Lindenhof","1",3
1993,81,"81","Seefeld","8",14,"14","City","1",2
1993,81,"81","Seefeld","8",21,"21","Wollishofen","2",18
1993,81,"81","Seefeld","8",23,"23","Leimbach","2",3
1993,81,"81","Seefeld","8",24,"24","Enge","2",25
1993,81,"81","Seefeld","8",31,"31","Alt-Wiedikon","3",40
1993,81,"81","Seefeld","8",33,"33","Friesenberg","3",4
1993,81,"81","Seefeld","8",34,"34","Sihlfeld","3",38
1993,81,"81","Seefeld","8",41,"41","Werd","4",10
1993,81,"81","Seefeld","8",42,"42","Langstrasse","4",48
1993,81,"81","Seefeld","8",44,"44","Hard","4",30
1993,81,"81","Seefeld","8",51,"51","Gewerbeschule","5",22
1993,81,"81","Seefeld","8",52,"52","Escher Wyss","5",4
1993,81,"81","Seefeld","8",61,"61","Unterstrass","6",45
1993,81,"81","Seefeld","8",63,"63","Oberstrass","6",34
1993,81,"81","Seefeld","8",71,"71","Fluntern","7",16
1993,81,"81","Seefeld","8",72,"72","Hottingen","7",49
1993,81,"81","Seefeld","8",73,"73","Hirslanden","7",27
1993,81,"81","Seefeld","8",74,"74","Witikon","7",30
1993,81,"81","Seefeld","8",81,"81","Seefeld","8",77
1993,81,"81","Seefeld","8",82,"82","Mühlebach","8",64
1993,81,"81","Seefeld","8",83,"83","Weinegg","8",30
1993,81,"81","Seefeld","8",91,"91","Albisrieden","9",12
1993,81,"81","Seefeld","8",92,"92","Altstetten","9",33
1993,81,"81","Seefeld","8",101,"101","Höngg","10",13
1993,81,"81","Seefeld","8",102,"102","Wipkingen","10",43
1993,81,"81","Seefeld","8",111,"111","Affoltern","11",7
1993,81,"81","Seefeld","8",115,"115","Oerlikon","12",19
1993,81,"81","Seefeld","8",119,"119","Seebach","12",17
1993,81,"81","Seefeld","8",121,"121","Saatlen","12",5
1993,81,"81","Seefeld","8",122,"122","Schwamendingen-Mitte","12",11
